pharmacy_name,city,phone,website,email
PURE INTEGRATIVE PHARMACY #20,Richmond,(604) 565-7873,https://purepharmacy.com,pure20@purepharmacy.com
PURE INTEGRATIVE PHARMACY #21,New Westminster,(604) 553-7145,https://purepharmacy.com,pure21@purepharmacy.com
PURE INTEGRATIVE PHARMACY #23,Vancouver,(604) 559-9200,https://purepharmacy.com,pure23@purepharmacy.com
PURE INTEGRATIVE PHARMACY #24,Vancouver,(604) 563-4888,https://purepharmacy.com,pure24@purepharmacy.com
PURE INTEGRATIVE PHARMACY #25,Fort Langley,(604) 371-1828,https://purepharmacy.com,pure25@purepharmacy.com
PURE INTEGRATIVE PHARMACY #26,Courtenay,(250) 871-7900,https://purepharmacy.com,pure26@purepharmacy.com
PURE INTEGRATIVE PHARMACY #27,West Vancouver,(604) 281-3784,https://purepharmacy.com,pure27@purepharmacy.com
PURE INTEGRATIVE PHARMACY #29,North Vancouver,(604) 770-3390,https://purepharmacy.com,pure29@purepharmacy.com
PURE INTEGRATIVE PHARMACY #31,Victoria,(778) 405-0860,https://purepharmacy.com,pure31@purepharmacy.com
PURE INTEGRATIVE PHARMACY #33,Delta,(778) 729-7873,https://purepharmacy.com,pure33@purepharmacy.com
PURE INTEGRATIVE PHARMACY #34,Vancouver,(604) 879-1885,https://purepharmacy.com,contact@purepharmacy.com
PURE INTEGRATIVE PHARMACY #35,Vancouver,(604) 874-4248,https://purepharmacy.com,contact@purepharmacy.com
PURE INTEGRATIVE PHARMACY #36,Victoria,(778) 247-7873,https://purepharmacy.com,contact@purepharmacy.com
PURE INTEGRATIVE PHARMACY #39,Squamish,(604) 892-0226,https://purepharmacy.com,contact@purepharmacy.com
PURE INTEGRATIVE PHARMACY #40,Parksville,(250) 947-8001,https://purepharmacy.com,contact@purepharmacy.com
PURE INTEGRATIVE PHARMACY #42,Vancouver,(778) 730-7873,https://purepharmacy.com,contact@purepharmacy.com
PURE INTEGRATIVE PHARMACY #43,North Vancouver,(604) 770-3554,https://purepharmacy.com,contact@purepharmacy.com
PURE INTEGRATIVE PHARMACY #72,Kamloops,(250) 851-3131,https://purepharmacy.com,contact@purepharmacy.com
QUADRA VILLAGE DRUG MART,Victoria,(250) 383-1188,https://quadravillagepharmacy.com,PharmacyatQVDM@gmail.com
QUALITY CARE DRUGSTORE,Port Alberni,(250) 724-1353,https://qualitycaredrugstore.ca/,info@qualitycaredrugstore.ca
QUEENSBOROUGH COMMUNITY PHARMACY,New Westminster,(778) 397-1132,https://qbcpharmacy.com/,info@qbcpharmacy.com
R.E.A.C.H. CENTRE PHARMACY,Vancouver,(604) 216-3136,https://www.reachcentre.bc.ca/pharmacy,info@reachcentre.bc.ca
ROBIN'S PHARMACY,Vancouver,(604) 876-3784,https://robinspharmacyltd.ca,robinspharmacy2024@gmail.com
RUTLAND MEDICAL PHARMACY,Kelowna,(778) 753-7070,https://www.rutlandmedicalpharmacy.com/,rutlandmedicalpharmacy@gmail.com
RX OUTREACH PHARMACY,Delta,(604) 515-4088,https://www.rxoutreachpharmacys.com/,pharmacistrxop@gmail.com
SAGE PHARMACY,New Westminster,(604) 901-0987,https://www.sagehealthcare.ca/,homecare@sagehealthcare.ca
SALT SPRING PHARMACY,Salt Spring Island,(250) 931-7774,https://www.saltspringpharmacy.com/,ssirx@live.com
SECHELT PHARMACY,Sechelt,(604) 740-8111,https://www.secheltpharmacy.com/,hello@secheltpharmacy.com
SHAUGHNESSY PHARMACY,Vancouver,(604) 423-4246,https://www.shaughnessypharmacy.com/,ShaughnessyPharmacy@gmail.com
SIDNEY PHARMACY II,Sidney,(250) 656-0744,https://sidneypharmacy.ca/,sidrx@telus.net
SIMILKAMEEN PHARMACY,Keremeos,(250) 499-5086,https://similkameenpharmacy.ca/,similkameen@teampractice.ca
SIMPLES DRUGS,Richmond,(604) 370-9228,https://www.simplesdrugs.com/,pharm@simplesdrugs.com
SIMPLES DRUGS #2,Richmond,(604) 285-0099,https://www.simplesdrugs.com/,pharm@simplesdrugs.com
SOUTH POINT PHARMACY & MEDICAL CLINIC,Surrey,(604) 305-5447,https://www.southpointpharmacy.ca/,pharmacist@southpointpharmacy.ca
SQUAMISH PHARMACY,Squamish,(604) 390-2004,https://squamishpharmacy.com/,squamishpharmacy@gmail.com
ST GEORGES PHARMACY,North Vancouver,(604) 988-7199,https://stgeorgespharmacy.ca/,info@stgeorgespharmacy.ca
STERLINGRX PHARMACY,Vernon,(778) 475-7600,https://www.sterlingrx.ca/,info@sterlingrx.ca
STS PAIN PHARMACY,Victoria,(778) 433-7246,https://www.stspain.com/,info@stsrx.com
SULLIVAN PHARMACY,Surrey,(778) 593-0052,https://www.sullivan-pharmacy.com/,pharmacysullivan@gmail.com
SUN PEAKS PHARMACY,Sun Peaks,778-760-4179,https://www.sunpeakspharmacy.com/,pharmacy@peaksrx.ca
SUPER GROCER AND PHARMACY,Richmond,(604) 274-7878,https://supergrocer.ca/,supergrocerpharmacy@gmail.com
SURLANG MEDICINE CENTRE PHARMACY,Surrey,(604) 533-1041,https://surlangpharmacy.ca/,info@surlangpharmacy.ca
TABLET PHARMACY,Parksville,(250) 947-9929,https://www.tabletpharmacy.ca/,contact@tabletpharmacy.ca
TABLET PHARMACY #3,Nanaimo,(250) 933-0093,https://www.tabletpharmacy.ca/,contact03@tabletpharmacy.ca
TABLET PHARMACY QUALICUM,Qualicum Beach,(250) 947-1230,https://www.tabletpharmacy.ca/,contactqb@tabletpharmacy.ca
THE LOCAL PHARMACY,Kelowna,(778) 583-5992,https://localpharmacykelowna.ca,info@localpharmacykelowna.ca
THE VILLAGE PHARMACY,Surrey,(604) 589-0012,https://thevillagerx.ca,gsidhu@thevillagerx.ca
TOWN CENTRE PHARMACY,Coquitlam,(604) 475-8508,https://towncentrepharmacy.ca/,info@towncentrepharmacy.ca
TUMBLER RIDGE PHARMACY,Tumbler Ridge,(250) 242-3333,http://trpharmacy.ca/,trpharmacy@teampractice.ca
TWIG FERTILITY PHARMACY,Vancouver,(778) 743-8944,https://twigfertility.com/locations/vancouver/,hello.bc@twigfertility.com
TWO NICE GUYS PHARMACY,Kelowna,(778) 753-6897,https://twoniceguyspharmacy.ca/,info@twoniceguyspharmacy.ca
UNIVERSITY PHARMACY (1987) LTD.,Vancouver,(604) 224-3202,https://www.universitypharmacy.net,universitypharmacy@telus.net
URBAN CARE PHARMACY,Vancouver,(604) 566-0800,https://urbancarepharmacy.com,rx@urbancarepharmacy.com
VALLEY EVERGREEN PHARMACY,Langley,(604) 534-1332,https://www.valleypharmacy.ypwebsites.ca,valphar@hotmail.com
VALLEY PHARMACY,Chilliwack,(604) 392-2211,https://valleypharmacychilliwack.com,valleypharmacychilliwack@hotmail.com
VICTORIA COMPOUNDING PHARMACY,Victoria,(250) 388-5181,https://www.wecompound.com/,wecompound@telus.net
VITAL HEALTH PHARMACY,Victoria,(778) 433-6060,https://vitalhealthpharmacy.com/,info@vitalhealthpharmacy.com
VITAL HEALTH PHARMACY #2,Kelowna,(778) 738-3195,https://vitalhealthpharmacy.com/kelowna/,kelowna@vitalhealthpharmacy.com
VITAL HEALTH PHARMACY #3,Victoria,(778) 949-8482,https://vitalhealthpharmacy.com/,info@vitalhealthpharmacy.com
VSTAR PHARMACY,Burnaby,(604) 291-1205,https://vstarpharmacy.com/,pharmacist@vstarpharmacy.com
WE CARE PHARMACY,Surrey,(604) 593-6924,https://we-care.ca,clinic64@we-care.ca
WELDON PHARMACY,Burnaby,(604) 365-4444,https://weldonrx.com,weldonrx@gmail.com
WELLNESS PHARMACY,Vancouver,(604) 709-3131,https://www.wellpharmacy.com,well1@wellpharmacy.com
WELLNESS PHARMACY #2,Langley,(604) 530-5300,https://www.wellpharmacy.com,well2@wellpharmacy.com
WELLNESS PHARMACY NO. 3,Surrey,(604) 951-1002,https://www.wellpharmacy.com,info@wellpharmacy.com
WELLNESS PHARMACY NO. 4,Richmond,(604) 277-3747,https://www.wellpharmacy.com/,wellr@wellpharmacy.com
WELLNESS PHARMACY NO. 5,Vancouver,(604) 638-0353,https://www.wellpharmacy.com/,well5@wellpharmacy.com
WELLNESS PHARMACY NO. 6,North Vancouver,(604) 971-5400,https://www.wellpharmacy.com/,wellnv@wellpharmacy.com
WELLNESS PHARMACY NO. 8,Vancouver,(604) 681-2272,https://www.wellpharmacy.com/,well6@wellpharmacy.com
WELLNESS PHARMACY NO. 9,Abbotsford,(604) 859-8883,https://www.wellpharmacy.com/,well3@wellpharmacy.com
WELLNESS PHARMACY NO. 12,Chilliwack,604-795-9501,https://www.wellpharmacy.com/,wellc@wellpharmacy.com
WESCANA PHARMACY # 1,Vancouver,(604) 324-6734,https://www.wescanapharmacyrx.com/,pharmacy@wescanarx.com
WHITE ROCK PHARMACY,White Rock,(604) 542-4878,https://www.whiterockpharmacy.com/,info@whiterockpharmacy.com
WHOLE HEALTH PHARMACY,Prince George,(778) 416-5010,https://wholehealthcollegeheights.com/,info@wholehealthcollegeheights.com
WILLOWBROOK PHARMACY,Langley,(604) 530-9888,https://willowbrookpharmacy.ca/,info@willowbrookpharmacy.ca
YNP DUNBAR PHARMACY - YOUR NEIGHBORHOOD PHARMACY,Vancouver,(604) 730-1788,https://www.ynpdunbar.com/,YNPDunbar@gmail.com
YYOUNG MEDICINE MART,Vancouver,(604) 324-3848,https://yyoungpharmacy.com/,oakridge@yyoungpharmacy.com
YYOUNG MEDICINE MART MAIN,Vancouver,(604) 658-8881,https://yyoungpharmacy.com/,rx@yyoung.com
ZEN PHARMACY,Port Moody,(604) 937-6069,https://www.zenpharmcare.ca/,Zenpharmcare@gmail.com
